merged_umls_label,disease_mondo_term_norm,earliest_year,disease,documents
Doxycycline,streptococcus pyogenes,2025.0,streptococcus pyogenes,['ANDA218753']
Doxycycline,syphilis,2025.0,syphilis; treponema pallidum,['ANDA218753'] ; ['ANDA218753']
Doxycycline,tick-borne infectious disease,2025.0,tick fevers,['ANDA218753']
Doxycycline,trachoma,2025.0,trachoma,['ANDA218753']
Doxycycline,tularemia,2025.0,francisella tularensis,['ANDA218753']
Doxycycline,typhus,2025.0,typhus fever,['ANDA218753']
Doxycycline,yaws,2025.0,treponema pertenue; yaws,['ANDA218753'] ; ['ANDA218753']
Doxycycline hyclate,Acinetobacter infectious disease,2025.0,acinetobacter species,['ANDA218753']
Doxycycline hyclate,Enterococcus faecalis infection,2025.0,enterococcus faecalis,['ANDA218753']
Doxycycline hyclate,Mycoplasma pneumoniae pneumonia,2025.0,mycoplasma pneumoniae,['ANDA218753']
Doxycycline hyclate,Oroya fever,2025.0,bartonella bacilliformis,['ANDA218753']
Doxycycline hyclate,Q fever,2025.0,q fever,['ANDA218753']
Doxycycline hyclate,Rickettsiaceae infectious disease,2025.0,rickettsial pox,['ANDA218753']
Doxycycline hyclate,Rickettsiosis,2005.0,rickettsial infections,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,Rocky mountain spotted fever,2025.0,rocky mountain spotted fever,['ANDA218753']
Doxycycline hyclate,acne,2005.0,severe acne,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,actinomycosis,2025.0,actinomyces species,['ANDA218753']
Doxycycline hyclate,amebic dysentery,2005.0,acute intestinal amebiasis,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'ANDA218753', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,anthrax infection,2005.0,anthrax,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'ANDA218753', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,bacterial infectious disease,1982.0,bacterial infections; specific bacterial infections,"['ANDA062269', 'ANDA062337', 'ANDA062396', 'ANDA062421', 'ANDA062432', 'ANDA062475', 'ANDA062676', 'ANDA062677', 'ANDA062992', 'ANDA065095', 'ANDA207289', 'ANDA207494', 'ANDA207558', 'ANDA207773', 'ANDA207774', 'ANDA210527', 'ANDA210536', 'ANDA210664', 'ANDA211012', 'ANDA213075', 'ANDA215583', 'ANDA216599', 'ANDA216690', 'ANDA217685', 'ANDA217794', 'ANDA217854'] ; ['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,bacteroides species,2025.0,bacteroides species,['ANDA218753']
Doxycycline hyclate,brucella species,2025.0,brucella species,['ANDA218753']
Doxycycline hyclate,campylobacte fetus,2025.0,campylobacte fetus,['ANDA218753']
Doxycycline hyclate,chancroid,2025.0,chancroid,['ANDA218753']
Doxycycline hyclate,cholera,2025.0,vibrio cholerae,['ANDA218753']
Doxycycline hyclate,clostridium species,2025.0,clostridium species,['ANDA218753']
Doxycycline hyclate,enterobacter aerogenes,2025.0,enterobacter aerogenes,['ANDA218753']
Doxycycline hyclate,escherichia coli,2025.0,escherichia coli,['ANDA218753']
Doxycycline hyclate,eye infectious disorder,2005.0,ophthalmic infections,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,fusobacterium fusiforme,2025.0,fusobacterium fusiforme,['ANDA218753']
Doxycycline hyclate,gonorrhea,2025.0,neisseria gonorrhoeae,['ANDA218753']
Doxycycline hyclate,granuloma inguinale,2025.0,granuloma inguinale,['ANDA218753']
Doxycycline hyclate,haemophilus influenzae,2025.0,haemophilus influenzae,['ANDA218753']
Doxycycline hyclate,infectious disease,1982.0,infections,"['ANDA062269', 'ANDA062337', 'ANDA062396', 'ANDA062421', 'ANDA062432', 'ANDA062475', 'ANDA062500', 'ANDA062505', 'ANDA062676', 'ANDA062677', 'ANDA062992', 'ANDA065095', 'ANDA065454', 'ANDA091406', 'ANDA207289', 'ANDA207494', 'ANDA207558', 'ANDA207757', 'ANDA207773', 'ANDA207774', 'ANDA209402', 'ANDA210527', 'ANDA210536', 'ANDA210664', 'ANDA211012', 'ANDA211343', 'ANDA213075', 'ANDA215583', 'ANDA216599', 'ANDA216690', 'ANDA217487', 'ANDA217685', 'ANDA217794', 'ANDA217854', 'ANDA218053']"
Doxycycline hyclate,inhalational anthrax,2005.0,inhalational anthrax; inhalational anthrax (post-exposure),"['ANDA090134', 'NDA208253'] ; ['ANDA200856', 'ANDA209372', 'ANDA211584', 'NDA050795', 'NDA205931']"
Doxycycline hyclate,klebsiella species,2025.0,klebsiella species,['ANDA218753']
Doxycycline hyclate,listeriosis,2025.0,listeria monocytogenes,['ANDA218753']
Doxycycline hyclate,lymphogranuloma venereum,2025.0,lymphogranuloma venereum,['ANDA218753']
Doxycycline hyclate,malaria,2005.0,malaria,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'NDA050795', 'NDA205931']"
Doxycycline hyclate,meningococcal infection,2025.0,n. meningitidis,['ANDA218753']
Doxycycline hyclate,necrotizing ulcerative gingivitis,2025.0,vincent’s infection,['ANDA218753']
Doxycycline hyclate,ornithosis,2025.0,ornithosis; psittacosis,['ANDA218753'] ; ['ANDA218753']
Doxycycline hyclate,"periodontitis, chronic, adult",2005.0,adult periodontitis,"['ANDA065134', 'ANDA065182', 'ANDA065277', 'ANDA065287', 'ANDA210537']"
Doxycycline hyclate,plague,2025.0,yersinia pestis,['ANDA218753']
Doxycycline hyclate,relapsing fever,2025.0,relapsing fever,['ANDA218753']
Doxycycline hyclate,respiratory tract infectious disorder,2005.0,respiratory tract infections,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,selected infections,2005.0,selected infections,"['ANDA209372', 'NDA050795']"
Doxycycline hyclate,selected infections when penicillin is contraindicated,2014.0,selected infections when penicillin is contraindicated,['NDA205931']
Doxycycline hyclate,sexually transmitted disease,2005.0,sexually transmitted infections,"['ANDA090134', 'ANDA200856', 'ANDA208818', 'ANDA209243', 'ANDA209372', 'ANDA211584', 'ANDA211744', 'NDA050795', 'NDA205931', 'NDA208253']"
Doxycycline hyclate,shigellosis,2025.0,shigella species,['ANDA218753']
Doxycycline hyclate,staphylococcus aureus,2025.0,staphylococcus aureus,['ANDA218753']
Doxycycline hyclate,streptococcal pneumonia,2025.0,streptococcus pneumoniae,['ANDA218753']
Doxycycline hyclate,streptococcus pyogenes,2025.0,streptococcus pyogenes,['ANDA218753']
Doxycycline hyclate,syphilis,2025.0,syphilis; treponema pallidum,['ANDA218753'] ; ['ANDA218753']
Doxycycline hyclate,tick-borne infectious disease,2025.0,tick fevers,['ANDA218753']
Doxycycline hyclate,trachoma,2025.0,trachoma,['ANDA218753']
Doxycycline hyclate,tularemia,2025.0,francisella tularensis,['ANDA218753']
Doxycycline hyclate,typhus,2025.0,typhus fever,['ANDA218753']
Doxycycline hyclate,yaws,2025.0,treponema pertenue; yaws,['ANDA218753'] ; ['ANDA218753']
Dronabinol,AIDS,1985.0,acquired immune deficiency syndrome; aids,"['ANDA078292', 'ANDA207421', 'NDA018651', 'NDA205525'] ; ['ANDA207421']"
Dronabinol,anorexia nervosa,1985.0,anorexia,"['ANDA078292', 'ANDA207421', 'NDA018651', 'NDA205525']"
Droperidol,nausea,1988.0,nausea,"['ANDA072123', 'ANDA208197']"
Droperidol,vomiting,1988.0,vomiting,"['ANDA072123', 'ANDA208197']"
Drospirenone,moderate acne,2006.0,moderate acne,['NDA021676']
Drospirenone,moderate acne vulgaris,2018.0,moderate acne vulgaris,['ANDA209632']
Drospirenone,neural tube defect,2010.0,neural tube defect,['NDA022574']
Drospirenone,"neural tube defects, susceptibility to",2017.0,neural tube defects,['ANDA205948']
Drospirenone,pregnancy,2001.0,pregnancy,"['ANDA078833', 'ANDA079221', 'ANDA201663', 'ANDA202131', 'ANDA202594', 'ANDA204296', 'ANDA204848', 'ANDA205947', 'ANDA209407', 'ANDA211944', 'ANDA213034', 'NDA021098', 'NDA022532', 'NDA022574', 'NDA211367', 'NDA214154']"
Drospirenone,pregnancy prevention,2014.0,pregnancy prevention,['ANDA201661']
Drospirenone,premature menopause,2005.0,menopause,['NDA021355']
Drospirenone,premenstrual dysphoric disorder,2006.0,premenstrual dysphoric disorder,"['ANDA209632', 'NDA021676']"
Drospirenone,vasomotor symptoms,2005.0,vasomotor symptoms,['NDA021355']
Droxidopa,Parkinson disease,2014.0,parkinson's disease,"['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Droxidopa,diabetic autonomic neuropathy,2014.0,non-diabetic autonomic neuropathy,"['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Droxidopa,feeling that you are about to black out,2014.0,feeling that you are about to black out,"['ANDA211652', 'ANDA211818', 'ANDA213661', 'ANDA213911', 'ANDA215265', 'NDA203202']"
Droxidopa,lightheadedness,2014.0,lightheadedness,"['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Droxidopa,multiple system atrophy,2014.0,multiple system atrophy,"['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Droxidopa,orthostatic dizziness,2014.0,orthostatic dizziness,"['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Droxidopa,orthostatic hypotension 1,2014.0,dopamine beta-hydroxylase deficiency,"['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Droxidopa,primary orthostatic hypotension,2014.0,neurogenic orthostatic hypotension,"['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Droxidopa,pure autonomic failure,2014.0,primary autonomic failure; pure autonomic failure,"['ANDA211652', 'ANDA211818', 'ANDA213661', 'ANDA213911', 'NDA203202'] ; ['ANDA211652', 'ANDA211726', 'ANDA211741', 'ANDA211818', 'ANDA213033', 'ANDA213661', 'ANDA213911', 'ANDA214017', 'ANDA214384', 'ANDA214387', 'ANDA214391', 'ANDA215265', 'NDA203202']"
Durvalumab,non-small cell lung carcinoma,2017.0,non-small cell lung cancer,['BLA761069']
Dutasteride,acute urinary retention,2001.0,acute urinary retention,"['ANDA202660', 'ANDA203118', 'ANDA204376', 'ANDA206574', 'ANDA209909', 'NDA021319']"
Dutasteride,benign prostatic hyperplasia,2001.0,benign prostatic hyperplasia; bph; enlarged prostate,"['ANDA202509', 'ANDA202660', 'ANDA203118', 'ANDA204376', 'ANDA206574', 'ANDA209909', 'ANDA213300', 'NDA021319'] ; ['ANDA202509', 'ANDA213300', 'NDA021319'] ; ['ANDA202509', 'ANDA213300']"
Dutasteride,symptomatic benign prostatic hyperplasia,2015.0,symptomatic benign prostatic hyperplasia,"['ANDA203118', 'ANDA206574', 'ANDA209909']"
Dutasteride,symptoms,2001.0,symptoms,"['ANDA202660', 'NDA021319']"
Duvelisib,B-cell chronic lymphocytic leukemia,2018.0,chronic lymphocytic leukemia; small lymphocytic leukemia,['NDA211155'] ; ['NDA211155']
Duvelisib,chronic leukemia,2018.0,cll,['NDA211155']
Duvelisib,splenic marginal zone lymphoma,2018.0,sll,['NDA211155']
Dyclonine hydrochloride,ano-genital lesions,2018.0,ano-genital lesions,['ANDA200480']
Dyclonine hydrochloride,aphthous stomatitis,2018.0,oral ulcers,['ANDA200480']
Dyclonine hydrochloride,obsolete disorder involving pain,2018.0,pain,['ANDA200480']
Dyclonine hydrochloride,stomatitis,2018.0,stomatitis,['ANDA200480']
Econazole,cutaneous candidiasis,2002.0,cutaneous candidiasis,"['ANDA076005', 'ANDA076479']"
Econazole,dermatophytosis of groin and perianal area,2002.0,tinea cruris,"['ANDA076005', 'ANDA076479']"
Econazole,pityriasis versicolor,2002.0,tinea versicolor,"['ANDA076005', 'ANDA076479']"
Econazole,tinea corporis,2002.0,tinea corporis,"['ANDA076005', 'ANDA076479']"
Econazole,tinea pedis,2002.0,interdigital tinea pedis; tinea pedis,"['NDA205175'] ; ['ANDA076005', 'ANDA076479']"
Ecothiopate,elevated intraocular pressure,1960.0,elevated intraocular pressure,['NDA011963']
Edaravone,amyotrophic lateral sclerosis,2017.0,als; amyotrophic lateral sclerosis,"['ANDA216199', 'ANDA216902', 'ANDA217565', 'ANDA218354', 'NDA209176', 'NDA215446'] ; ['ANDA216199', 'ANDA216902', 'ANDA217565', 'ANDA218354', 'NDA209176', 'NDA215446']"
Eflornithine,hrnb,2023.0,hrnb,['NDA215500']
Eflornithine,"neuroblastoma, susceptibility to, 1",2023.0,high-risk neuroblastoma,['NDA215500']
Eflornithine Hydrochloride,hrnb,2023.0,hrnb,['NDA215500']
Eflornithine Hydrochloride,"neuroblastoma, susceptibility to, 1",2023.0,high-risk neuroblastoma,['NDA215500']
Eicosapentaenoate,cardiovascular disorder,2012.0,cardiovascular disease,['NDA202057']
Eicosapentaenoate,coronary revascularization,2012.0,coronary revascularization,['NDA202057']
Eicosapentaenoate,diabetes mellitus,2012.0,diabetes mellitus,['NDA202057']
Eicosapentaenoate,hypertriglyceridemia,2012.0,elevated triglyceride levels; hypertriglyceridemia,"['NDA202057'] ; ['ANDA209457', 'ANDA217919', 'ANDA218994', 'ANDA219156']"
Eicosapentaenoate,intermediate coronary syndrome,2012.0,unstable angina,['NDA202057']
Eicosapentaenoate,myocardial infarction,2012.0,myocardial infarction,['NDA202057']
Eicosapentaenoate,obsolete major hypertriglyceridemia,2020.0,severe hypertriglyceridemia,"['ANDA209437', 'ANDA209499', 'ANDA209525', 'ANDA216811', 'ANDA217844', 'ANDA218899']"
Eicosapentaenoate,stroke disorder,2012.0,stroke,['NDA202057']
Eicosapentaenoate,triglyceride levels,2024.0,triglyceride levels,['ANDA218899']
Elmiron,interstitial cystitis,1996.0,bladder pain or discomfort; interstitial cystitis,['NDA020193'] ; ['NDA020193']
Elotuzumab,plasma cell myeloma,2015.0,multiple myeloma,['BLA761035']
Eloxatine,stage iii colon cancer,2005.0,stage iii colon cancer,['NDA021759']
Eltrombopag,hepatitis C virus infection,2025.0,chronic hepatitis c,['ANDA206788']
Eltrombopag,myelodysplastic syndrome,2025.0,myelodysplastic syndrome,['ANDA206788']
Eltrombopag,severe aplastic anemia,2025.0,severe aplastic anemia,['ANDA206788']
Eltrombopag,thrombocytopenia,2008.0,thrombocytopenia,"['ANDA206788', 'ANDA216620', 'NDA022291', 'NDA207027', 'NDA216774']"
Eltrombopag,thrombocytopenia due to immune destruction,2008.0,immune thrombocytopenia; immune thrombocytopenia (itp),"['ANDA206788', 'ANDA216620', 'NDA022291', 'NDA207027'] ; ['NDA216774']"
Emend,acute and delayed nausea and vomiting,2008.0,acute and delayed nausea and vomiting,['NDA022023']
Emend,acute nausea and vomiting,2003.0,acute nausea and vomiting,"['NDA021549', 'NDA207865']"
Emend,delayed nausea and vomiting,2003.0,delayed nausea and vomiting,"['NDA021549', 'NDA207865']"
"Emtricitabine, (+/-)-",HIV infectious disease,2003.0,hiv-1 infection; human immunodeficiency virus type 1 (hiv-1) infection,"['ANDA079188', 'ANDA090513', 'ANDA090894', 'ANDA090958', 'ANDA091055', 'ANDA091168', 'ANDA091215', 'ANDA201806', 'ANDA203041', 'ANDA203053', 'ANDA203442', 'ANDA204131', 'ANDA204287', 'ANDA206436', 'ANDA206894', 'ANDA208452', 'ANDA209721', 'ANDA211640', 'ANDA212114', 'ANDA212689', 'ANDA213541', 'NDA021500', 'NDA021752', 'NDA021896', 'NDA202123', 'NDA203100', 'NDA207561', 'NDA208215', 'NDA208351'] ; ['NDA210251', 'NDA210455']"
Enalapril,hypertensive disorder,1985.0,hypertension,"['ANDA075178', 'ANDA075459', 'ANDA075479', 'ANDA075483', 'ANDA075496', 'ANDA075657', 'ANDA075788', 'ANDA075909', 'ANDA212894', 'ANDA213273', 'ANDA213714', 'ANDA214467', 'ANDA216458', 'ANDA218531', 'NDA018998', 'NDA019221', 'NDA208686']"
Enalapril,symptomatic heart failure,2021.0,symptomatic heart failure,['ANDA212408']
Enalaprilat,hypertensive disorder,2000.0,hypertension,"['ANDA075578', 'ANDA078687']"
Enbrel,ankylosing spondylitis,1998.0,ankylosing spondylitis,['BLA103795']
Enbrel,polyarticular juvenile idiopathic arthritis,1998.0,polyarticular juvenile idiopathic arthritis,['BLA103795']
Enbrel,psoriasis,1998.0,plaque psoriasis,['BLA103795']
Enbrel,psoriasis-related juvenile idiopathic arthritis,1998.0,juvenile psoriatic arthritis,['BLA103795']
Enbrel,psoriatic arthritis,1998.0,psoriatic arthritis,['BLA103795']
Enbrel,rheumatoid arthritis,1998.0,rheumatoid arthritis,['BLA103795']
Enfuvirtide,HIV infectious disease,2003.0,hiv-1 infection,['NDA021481']
Enfuvirtide,hiv-1 replication,2003.0,hiv-1 replication,['NDA021481']
Enoxaparin,ST-elevation myocardial infarction,1993.0,acute st-segment elevation myocardial infarction; st-segment elevation myocardial infarction; stemi,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164'] ; ['ANDA078990'] ; ['ANDA077857']"
Enoxaparin,acute deep vein thrombosis,2011.0,acute deep vein thrombosis,"['ANDA076684', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856']"
Enoxaparin,deep vein thrombosis,1993.0,deep vein thrombosis,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164']"
Enoxaparin,dvt,2010.0,dvt,"['ANDA076684', 'ANDA077857', 'ANDA206834', 'ANDA208600', 'ANDA214856']"
Enoxaparin,intermediate coronary syndrome,1993.0,unstable angina,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164']"
Enoxaparin,myocardial infarction,2010.0,mi,['ANDA077857']
Enoxaparin,non-q-wave myocardial infarction,2010.0,non-q-wave myocardial infarction,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214856']"
Enoxaparin,non–q-wave myocardial infarction,1993.0,non–q-wave myocardial infarction,"['ANDA214646', 'NDA020164']"
Enoxaparin,pe,2010.0,pe,"['ANDA076684', 'ANDA077857', 'ANDA208600']"
Enoxaparin,pulmonary embolism,1993.0,pulmonary embolism,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164']"
Enoxaparin sodium,ST-elevation myocardial infarction,1993.0,acute st-segment elevation myocardial infarction; st-segment elevation myocardial infarction; stemi,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164'] ; ['ANDA078990'] ; ['ANDA077857']"
Enoxaparin sodium,acute deep vein thrombosis,2011.0,acute deep vein thrombosis,"['ANDA076684', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856']"
Enoxaparin sodium,deep vein thrombosis,1993.0,deep vein thrombosis,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164']"
Enoxaparin sodium,dvt,2010.0,dvt,"['ANDA076684', 'ANDA077857', 'ANDA206834', 'ANDA208600', 'ANDA214856']"
Enoxaparin sodium,intermediate coronary syndrome,1993.0,unstable angina,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164']"
Enoxaparin sodium,myocardial infarction,2010.0,mi,['ANDA077857']
Enoxaparin sodium,non-q-wave myocardial infarction,2010.0,non-q-wave myocardial infarction,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214856']"
Enoxaparin sodium,non–q-wave myocardial infarction,1993.0,non–q-wave myocardial infarction,"['ANDA214646', 'NDA020164']"
Enoxaparin sodium,pe,2010.0,pe,"['ANDA076684', 'ANDA077857', 'ANDA208600']"
Enoxaparin sodium,pulmonary embolism,1993.0,pulmonary embolism,"['ANDA076684', 'ANDA076726', 'ANDA077857', 'ANDA078990', 'ANDA205660', 'ANDA206834', 'ANDA208600', 'ANDA214646', 'ANDA214856', 'NDA020164']"
Entecavir,active viral replication,2015.0,active viral replication,"['ANDA205740', 'ANDA206217', 'ANDA208195', 'ANDA212126']"
Entecavir,chronic hepatitis B virus infection,2005.0,chronic hepatitis b virus infection,"['ANDA205740', 'ANDA206217', 'ANDA206652', 'ANDA206745', 'ANDA206872', 'ANDA208195', 'ANDA208782', 'ANDA212126', 'ANDA212201', 'ANDA216857', 'NDA021797', 'NDA021798']"
Entecavir,elevated serum aminotransferases (alt or ast),2016.0,elevated serum aminotransferases (alt or ast),['ANDA206872']
Entecavir,histologically active disease,2005.0,histologically active disease,"['ANDA205740', 'ANDA206217', 'ANDA206872', 'ANDA208195', 'ANDA212126', 'ANDA212201', 'NDA021797', 'NDA021798']"
Entecavir,persistent elevations in serum aminotransferases,2019.0,persistent elevations in serum aminotransferases,['ANDA212201']
Entecavir,persistent elevations in serum aminotransferases (alt or ast),2015.0,persistent elevations in serum aminotransferases (alt or ast),"['ANDA205740', 'ANDA206217', 'ANDA208195', 'ANDA212126']"
Entresto,heart failure,2015.0,chronic heart failure; heart failure,"['NDA207620', 'NDA218591'] ; ['NDA207620', 'NDA218591']"
Entresto,obsolete sudden cardiac death,2015.0,cardiovascular death,"['NDA207620', 'NDA218591']"
Epinephrine,"IgE responsiveness, atopic",2024.0,type i allergic reactions,['NDA214697']
Epinephrine,anaphylaxis,1987.0,anaphylaxis,"['ANDA090589', 'ANDA207568', 'ANDA211880', 'ANDA217192', 'ANDA217485', 'ANDA219239', 'NDA019430', 'NDA020800', 'NDA201739', 'NDA204200', 'NDA204640', 'NDA205029', 'NDA214697', 'NDA215425']"
Epinephrine,exercise-induced anaphylaxis,1987.0,exercise-induced anaphylaxis,"['ANDA090589', 'ANDA207568', 'ANDA211880', 'ANDA217192', 'NDA019430', 'NDA020800', 'NDA201739']"
Epinephrine,hypersensitivity reaction disease,1987.0,allergic reactions; allergic reactions (type 1); allergic reactions (type i),"['ANDA207568', 'ANDA211880', 'ANDA217192', 'ANDA219239', 'NDA201739'] ; ['ANDA217485', 'NDA204200', 'NDA204640', 'NDA205029', 'NDA215425'] ; ['ANDA090589', 'NDA019430', 'NDA020800']"
Epinephrine,hypotension associated with septic shock,2012.0,hypotension associated with septic shock,"['NDA204200', 'NDA204640', 'NDA205029']"
Epinephrine,hypotensive disorder,2018.0,hypotension,"['ANDA207568', 'ANDA211880', 'ANDA213708', 'ANDA217192', 'ANDA218144', 'ANDA219239', 'NDA209359', 'NDA211363', 'NDA215875']"
Epinephrine,idiopathic anaphylaxis,1987.0,idiopathic anaphylaxis,"['ANDA090589', 'ANDA207568', 'ANDA211880', 'ANDA217192', 'NDA019430', 'NDA020800', 'NDA201739']"
Epinephrine,intermittent asthma,2018.0,intermittent asthma,['NDA205920']
Epinephrine,septic shock,2018.0,septic shock,"['ANDA207568', 'ANDA211880', 'ANDA213708', 'ANDA217192', 'ANDA218144', 'ANDA219239', 'NDA209359', 'NDA211363', 'NDA215875']"
Epinephrine,shortness of breath,2018.0,shortness of breath,['NDA205920']
Epinephrine,tightness of chest,2018.0,tightness of chest,['NDA205920']
Epinephrine,wheezing,2018.0,wheezing,['NDA205920']
Epoprostenol,pulmonary arterial hypertension,2008.0,pah; pulmonary arterial hypertension,"['ANDA213913', 'NDA022260'] ; ['ANDA213913', 'NDA022260']"
Epoprostenol Sodium,pulmonary arterial hypertension,1995.0,pah; pulmonary arterial hypertension,"['ANDA210473', 'ANDA213913', 'NDA020444', 'NDA022260'] ; ['ANDA210473', 'ANDA213913', 'NDA020444', 'NDA022260']"
Erbitux,head and neck carcinoma,2004.0,head and neck cancer,['BLA125084']
Erbitux,head and neck squamous cell carcinoma,2004.0,squamous cell carcinoma of the head and neck,['BLA125084']
"Erbumine, Perindopril",essential hypertension,2009.0,essential hypertension,['ANDA079070']
Ergocalciferol,autosomal dominant hypophosphatemic rickets,1941.0,familial hypophosphatemia,"['ANDA040833', 'ANDA080704', 'ANDA090455', 'ANDA204276', 'NDA003444']"
Ergocalciferol,hypoparathyroidism,1941.0,hypoparathyroidism,"['ANDA040833', 'ANDA080704', 'ANDA090455', 'ANDA204276', 'NDA003444']"
Ergocalciferol,hypophosphatemic rickets,1941.0,refractory rickets,"['ANDA040833', 'ANDA080704', 'ANDA090455', 'ANDA204276', 'NDA003444']"
Ergocalciferol,"vitamin D-dependent rickets, type 2B",1941.0,vitamin d resistant rickets,"['ANDA040833', 'ANDA080704', 'ANDA090455', 'ANDA204276', 'NDA003444']"
Ergotamine,cluster headache syndrome,1983.0,histaminic cephalalgia,"['ANDA040590', 'ANDA086557', 'ANDA087693']"
Ergotamine,migraine disorder,1983.0,migraine; migraine variants,"['ANDA040590', 'ANDA086557', 'ANDA087693'] ; ['ANDA040590', 'ANDA086557', 'ANDA087693']"
Ergotamine,obsolete vascular headache,1983.0,vascular headache,"['ANDA040590', 'ANDA086557', 'ANDA087693']"
Eribulin,metastatic breast cancer,2024.0,metastatic breast cancer,"['ANDA214310', 'ANDA214850', 'ANDA217250', 'ANDA218047', 'ANDA218142', 'ANDA218281', 'ANDA218743']"
Eribulin,metastatic neoplasm,2024.0,metastatic disease,"['ANDA214310', 'ANDA217250', 'ANDA218743']"
